station_id,name,line,latitude,longitude,ridership_prior
ct-7ave-1st,7 Ave & 1 St SW,Red-Blue,51.0461,-114.0612,0.092
ct-7ave-3rd,7 Ave & 3 St SW,Red-Blue,51.0464,-114.0666,0.087
ct-7ave-4th,7 Ave & 4 St SW,Red-Blue,51.0468,-114.0716,0.081
ct-city-hall,City Hall,Red-Blue,51.0461,-114.0566,0.078
ct-6st,6 St SW,Red,51.0473,-114.0760,0.066
ct-8st,8 St SW,Red,51.0481,-114.0825,0.057
ct-tower-hill,Tower Hill,Red,51.0388,-114.1024,0.046
ct-39ave,39 Ave SE,Red,50.9991,-114.0570,0.038
ct-chinook,Chinook,Red,50.9844,-114.0589,0.043
ct-heritage,Heritage,Red,50.9722,-114.0606,0.034
ct-southland,Southland,Red,50.9483,-114.0625,0.031
ct-anderson,Anderson,Red,50.9342,-114.0653,0.029
ct-canyon-meadows,Canyon Meadows,Red,50.9192,-114.0697,0.022
ct-fish-creek,Fish Creek-Lacombe,Red,50.9092,-114.0789,0.018
ct-shawnessy,Shawnessy,Red,50.8973,-114.0876,0.022
ct-somerset,Somerset-Bridlewood,Red,50.8854,-114.0962,0.024
ct-rundle,Rundle,Blue,51.0578,-113.9742,0.027
ct-marlborough,Marlborough,Blue,51.0581,-113.9892,0.026
ct-franklin,Franklin,Blue,51.0512,-113.9985,0.025
ct-barlow,Barlow-Max Bell,Blue,51.0508,-114.0075,0.023
ct-zoo,Zoo,Blue,51.0507,-114.0188,0.029
ct-bridgeland,Bridgeland-Memorial,Blue,51.0508,-114.0438,0.034
ct-sait,SAIT-AUArts-Jubilee,Red,51.0670,-114.0857,0.043
ct-lions-park,Lions Park,Red,51.0764,-114.0972,0.027
ct-banff-trail,Banff Trail,Red,51.0834,-114.1144,0.024
ct-univ,University,Red,51.0863,-114.1271,0.038
ct-brentwood,Brentwood,Red,51.0856,-114.1395,0.033
ct-dalhousie,Dalhousie,Red,51.0995,-114.1488,0.027
ct-crowfoot,Crowfoot,Red,51.1188,-114.1956,0.024
ct-tuscany,Tuscany,Red,51.1331,-114.2310,0.020
ct-saddletowne,Saddletowne,Blue,51.1198,-113.9533,0.014
ct-mcknight,McKnight-Westwinds,Blue,51.1086,-113.9676,0.013
ct-whitehorn,Whitehorn,Blue,51.0840,-113.9744,0.012
